frame,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_THUMB_TIP_x,RIGHT_THUMB_TIP_y,RIGHT_THUMB_TIP_z,RIGHT_INDEX_FINGER_TIP_x,RIGHT_INDEX_FINGER_TIP_y,RIGHT_INDEX_FINGER_TIP_z,LEFT_THUMB_TIP_x,LEFT_THUMB_TIP_y,LEFT_THUMB_TIP_z,LEFT_INDEX_FINGER_TIP_x,LEFT_INDEX_FINGER_TIP_y,LEFT_INDEX_FINGER_TIP_z
23,0.1611,-0.4681,-0.0232,-0.1399,-0.4699,-0.1485,0.1678,-0.2296,0.005,-0.0417,-0.2413,-0.1696,0.1769,-0.0414,-0.0761,0.17,-0.1559,-0.2068,0.0381,0.7314,0.2149,-0.0764,0.6958,0.2241,0.7794,0.4133,-0.0047,0.7541,0.4101,-0.0102,0.6602,0.5528,-0.0215,0.6657,0.5652,-0.0137
24,0.1654,-0.469,-0.0358,-0.1423,-0.4695,-0.1492,0.1802,-0.2326,-0.0058,-0.0532,-0.2392,-0.1653,0.1785,-0.0415,-0.0889,0.1471,-0.156,-0.209,0.0411,0.7315,0.2172,-0.0741,0.6976,0.2286,0.7599,0.4194,-0.0094,0.7341,0.4123,-0.0168,0.6599,0.5534,-0.0212,0.6651,0.566,-0.0123
25,0.1679,-0.469,-0.0492,-0.1437,-0.4691,-0.1511,0.1858,-0.2329,-0.0216,-0.0553,-0.2358,-0.163,0.1783,-0.0415,-0.1117,0.1371,-0.1508,-0.2134,0.045,0.7321,0.2173,-0.0719,0.7021,0.2287,0.7402,0.4237,-0.0133,0.7122,0.4174,-0.0245,0.6598,0.554,-0.0221,0.6649,0.567,-0.0124
26,0.1704,-0.4687,-0.0577,-0.1463,-0.4697,-0.151,0.1886,-0.2329,-0.0356,-0.0786,-0.2352,-0.1631,0.1781,-0.0415,-0.1328,0.112,-0.1414,-0.2394,0.049,0.73,0.23,-0.0704,0.7024,0.24,0.716,0.4278,-0.0174,0.692,0.4248,-0.0279,0.6594,0.5547,-0.0202,0.6647,0.567,-0.0103
27,0.1718,-0.4702,-0.0517,-0.1484,-0.4744,-0.1352,0.1889,-0.2336,-0.0307,-0.1029,-0.2362,-0.1621,0.1833,-0.0373,-0.1289,0.0646,-0.1364,-0.2609,0.0513,0.732,0.2322,-0.0691,0.7056,0.2387,,,,,,,0.6596,0.5547,-0.023,0.6638,0.5672,-0.0127
28,0.1733,-0.4725,-0.0499,-0.1486,-0.4837,-0.1043,0.1905,-0.2342,-0.02,-0.1353,-0.2457,-0.1459,0.1881,-0.0298,-0.1096,0.0076,-0.1365,-0.2673,0.0556,0.7388,0.2313,-0.0663,0.7116,0.2261,,,,,,,0.6599,0.5549,-0.0237,0.6637,0.5674,-0.0147
29,0.1734,-0.4731,-0.047,-0.1493,-0.4845,-0.1057,0.1925,-0.2346,-0.0194,-0.1548,-0.2454,-0.1376,0.189,-0.0235,-0.1095,-0.0282,-0.1122,-0.2618,0.0555,0.7422,0.2311,-0.0659,0.7139,0.2131,0.6178,0.44,-0.0228,0.5955,0.4358,-0.0352,0.6596,0.5553,-0.0228,0.6641,0.5679,-0.0128
30,0.1738,-0.4755,-0.0449,-0.1502,-0.4855,-0.0991,0.1932,-0.237,-0.0189,-0.1716,-0.2451,-0.1322,0.1888,-0.0243,-0.1097,-0.0631,-0.1025,-0.2656,0.0551,0.7477,0.2268,-0.0663,0.7156,0.2022,,,,,,,0.6592,0.5553,-0.023,0.6644,0.5683,-0.0116
31,0.1771,-0.4792,-0.0399,-0.1489,-0.489,-0.0767,0.1967,-0.2404,-0.0099,-0.1711,-0.2461,-0.1101,0.1909,-0.0249,-0.0983,-0.0878,-0.1017,-0.2627,0.0548,0.7511,0.2218,-0.0657,0.7187,0.2011,,,,,,,0.6589,0.5555,-0.0235,0.6639,0.5685,-0.0117
32,0.178,-0.4825,-0.0379,-0.1488,-0.4932,-0.0662,0.1987,-0.244,-0.002,-0.1907,-0.2539,-0.1044,0.1917,-0.0253,-0.0837,-0.1301,-0.1061,-0.2666,0.0547,0.7546,0.2195,-0.0657,0.7183,0.2032,,,,,,,0.6588,0.5557,-0.024,0.6637,0.5686,-0.0104
