frame,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v
13,0.5000360012054443,0.5361777544021606,-0.5896368026733398,0.9999716877937317,0.7297477722167969,0.9090585708618164,-0.1265818476676941,0.996941328048706,0.27692797780036926,0.8908757567405701,-0.15733154118061066,0.9988184571266174
14,0.5000414848327637,0.5366805791854858,-0.5953871011734009,0.9999719858169556,0.7297126650810242,0.9093900918960571,-0.12560854852199554,0.9969012141227722,0.2769128382205963,0.8909040689468384,-0.15981820225715637,0.9988276958465576
15,0.5000350475311279,0.538550853729248,-0.6048810482025146,0.9999728202819824,0.7297108769416809,0.910129964351654,-0.13366124033927917,0.9969488382339478,0.2766423523426056,0.8911841511726379,-0.16077764332294464,0.9988629221916199
16,0.5002614259719849,0.5407975912094116,-0.6077771782875061,0.9999727606773376,0.729690432548523,0.9111619591712952,-0.12795774638652802,0.9969026446342468,0.2760099172592163,0.891886293888092,-0.16598156094551086,0.9988783001899719
17,0.5006418228149414,0.5437687635421753,-0.6112174987792969,0.9999724626541138,0.7297482490539551,0.9118335247039795,-0.1324714869260788,0.9968286752700806,0.2754780352115631,0.8922151923179626,-0.1701255738735199,0.998893678188324
18,0.5008174777030945,0.5470520853996277,-0.6097613573074341,0.9999720454216003,0.7297471165657043,0.9119822978973389,-0.13242538273334503,0.9968304634094238,0.2754709720611572,0.8922277092933655,-0.1717596799135208,0.9988880157470703
19,0.5008707642555237,0.5507832765579224,-0.6076988577842712,0.9999720454216003,0.7296291589736938,0.9119855165481567,-0.13195332884788513,0.9968206882476807,0.27550333738327026,0.8922128677368164,-0.17081710696220398,0.9988719820976257
20,0.5013667345046997,0.557104766368866,-0.6132408380508423,0.9999721646308899,0.7294524312019348,0.9119710922241211,-0.1332249492406845,0.9968961477279663,0.2755211889743805,0.892213761806488,-0.17217588424682617,0.9988604187965393
21,0.4993670880794525,0.5656777024269104,-0.6679850816726685,0.9999725222587585,0.7294479012489319,0.9121772646903992,-0.14348603785037994,0.9969527125358582,0.27552077174186707,0.891857922077179,-0.17401349544525146,0.9988570213317871
22,0.4990168809890747,0.5780279040336609,-0.6965215802192688,0.9999734163284302,0.7289795279502869,0.9123883843421936,-0.14610646665096283,0.9970343112945557,0.2754687964916229,0.8918613195419312,-0.1890202760696411,0.998862087726593
23,0.49778294563293457,0.5901442766189575,-0.6830347776412964,0.9999743700027466,0.7289756536483765,0.9132581353187561,-0.14464160799980164,0.9970887303352356,0.27562013268470764,0.8917639255523682,-0.18701183795928955,0.9988580942153931
24,0.4961358606815338,0.601206362247467,-0.7041997313499451,0.9999756217002869,0.7287180423736572,0.9132086038589478,-0.14818936586380005,0.9971720576286316,0.27595871686935425,0.8910129070281982,-0.179615780711174,0.9988659620285034
25,0.49466630816459656,0.6073030829429626,-0.7291220426559448,0.9999745488166809,0.7287358045578003,0.9133513569831848,-0.16528718173503876,0.9972001910209656,0.2761516571044922,0.8907502889633179,-0.18213005363941193,0.9988709092140198
26,0.49261152744293213,0.6124060153961182,-0.7369292378425598,0.9999719858169556,0.7288460731506348,0.9133869409561157,-0.19091510772705078,0.9972216486930847,0.27661964297294617,0.8903850317001343,-0.1867852807044983,0.998882532119751
