frame,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v
14,0.5344940423965454,0.5473868250846863,-1.1446057558059692,0.9999280571937561,0.744576096534729,0.9052910804748535,-0.2774025797843933,0.9985805749893188,0.24630658328533173,0.9088656902313232,-0.33163368701934814,0.9983038902282715
15,0.5414078831672668,0.5478407740592957,-1.1365083456039429,0.9999268651008606,0.7448902130126953,0.9053069353103638,-0.26637381315231323,0.9985499978065491,0.2454337477684021,0.909089207649231,-0.3408024311065674,0.9982578158378601
16,0.551056444644928,0.5477444529533386,-1.1441634893417358,0.9999218583106995,0.744963526725769,0.9053118228912354,-0.2622835636138916,0.9984620809555054,0.24521249532699585,0.909076452255249,-0.3681183457374573,0.9981265068054199
17,0.5619506239891052,0.5465255975723267,-1.1677749156951904,0.9999100565910339,0.745849072933197,0.9053172469139099,-0.2633959949016571,0.9983240365982056,0.2450641542673111,0.9090624451637268,-0.4020541310310364,0.9979177117347717
18,0.574798583984375,0.5407615900039673,-1.169044852256775,0.9998677968978882,0.745982825756073,0.9052618145942688,-0.2619873881340027,0.998100221157074,0.24490059912204742,0.9089657068252563,-0.44078487157821655,0.9973779320716858
19,0.5893632173538208,0.5373538136482239,-1.1708769798278809,0.9997668862342834,0.74611896276474,0.9052407145500183,-0.25461509823799133,0.9977058172225952,0.24492156505584717,0.9087067246437073,-0.4793088138103485,0.9963338971138
20,0.6011566519737244,0.5356726050376892,-1.161318063735962,0.9996272325515747,0.7462371587753296,0.9051430821418762,-0.2466011941432953,0.9972983598709106,0.24493256211280823,0.9086534976959229,-0.5054147243499756,0.9951822757720947
21,0.6073161363601685,0.5340363383293152,-1.1562713384628296,0.9994744062423706,0.7465887069702148,0.9048747420310974,-0.2465459704399109,0.996846079826355,0.2450614869594574,0.908660352230072,-0.5282663702964783,0.9938843250274658
22,0.6119704842567444,0.5337198376655579,-1.1365967988967896,0.9992998242378235,0.7467561960220337,0.9047671556472778,-0.22966505587100983,0.9962140321731567,0.24719449877738953,0.9082213640213013,-0.5404612421989441,0.9926736354827881
23,0.6202588677406311,0.5278112292289734,-1.0986400842666626,0.9990866780281067,0.7487765550613403,0.904687762260437,-0.1932622343301773,0.9955907464027405,0.2517005503177643,0.9079663753509521,-0.5480750203132629,0.9916383028030396
24,0.62575763463974,0.5128004550933838,-1.041447639465332,0.9989297986030579,0.751004695892334,0.9048855900764465,-0.17145247757434845,0.9950374960899353,0.2559431195259094,0.9069519639015198,-0.545308530330658,0.9908986687660217
25,0.6260166764259338,0.5008267164230347,-1.0121835470199585,0.9988400936126709,0.7530316114425659,0.9056275486946106,-0.16654884815216064,0.9946315288543701,0.2594362795352936,0.9065678715705872,-0.5247226357460022,0.9902519583702087
26,0.6247990131378174,0.4894762635231018,-1.0038667917251587,0.9987665414810181,0.7539045810699463,0.9065523743629456,-0.17639821767807007,0.9943416118621826,0.26133236289024353,0.9063612818717957,-0.5180767774581909,0.9897631406784058
